yr,GEOID,NAME,variable,estimate,moe,summary_est,summary_moe
2014,4748000,"Memphis city, Tennessee",B25010_002,2.52,0.07,2.56,0
2014,4748000,"Memphis city, Tennessee",B25010_003,2.6,0.06,2.56,0
2015,4748000,"Memphis city, Tennessee",B25010_001,2.55,0.05,2.55,0
2015,4748000,"Memphis city, Tennessee",B25010_002,2.58,0.08,2.55,0
2015,4748000,"Memphis city, Tennessee",B25010_003,2.52,0.08,2.55,0
2016,4748000,"Memphis city, Tennessee",B25010_001,2.48,0.05,2.48,0
2016,4748000,"Memphis city, Tennessee",B25010_002,2.45,0.08,2.48,0
2016,4748000,"Memphis city, Tennessee",B25010_003,2.5,0.06,2.48,0
2017,4748000,"Memphis city, Tennessee",B25010_001,2.58,0.05,2.58,0
2017,4748000,"Memphis city, Tennessee",B25010_002,2.63,0.08,2.58,0
2017,4748000,"Memphis city, Tennessee",B25010_003,2.55,0.07,2.58,0
2018,4748000,"Memphis city, Tennessee",B25010_001,2.52,0.05,2.52,0
2018,4748000,"Memphis city, Tennessee",B25010_002,2.56,0.07,2.52,0
2018,4748000,"Memphis city, Tennessee",B25010_003,2.48,0.09,2.52,0
2019,4748000,"Memphis city, Tennessee",B25010_001,2.5,0.05,2.5,0
2019,4748000,"Memphis city, Tennessee",B25010_002,2.63,0.08,2.5,0
2019,4748000,"Memphis city, Tennessee",B25010_003,2.4,0.09,2.5,0
2021,4748000,"Memphis city, Tennessee",B25010_001,2.39,0.04,2.39,0
2021,4748000,"Memphis city, Tennessee",B25010_002,2.4,0.07,2.39,0
2021,4748000,"Memphis city, Tennessee",B25010_003,2.38,0.07,2.39,0
2005,4748000,"Memphis city, Tennessee",B25006_001,261983,4867,261983,4867
2005,4748000,"Memphis city, Tennessee",B25006_002,92490,3455,261983,4867
2005,4748000,"Memphis city, Tennessee",B25006_003,156810,4051,261983,4867
2005,4748000,"Memphis city, Tennessee",B25006_004,638,411,261983,4867
2005,4748000,"Memphis city, Tennessee",B25006_005,4128,690,261983,4867
2005,4748000,"Memphis city, Tennessee",B25006_006,0,282,261983,4867
2005,4748000,"Memphis city, Tennessee",B25006_007,5263,1133,261983,4867
2005,4748000,"Memphis city, Tennessee",B25006_008,2654,869,261983,4867
2005,4748000,"Memphis city, Tennessee",B25006_009,331,368,261983,4867
2005,4748000,"Memphis city, Tennessee",B25006_010,2323,787,261983,4867
2006,4748000,"Memphis city, Tennessee",B25006_001,248836,5436,248836,5436
2006,4748000,"Memphis city, Tennessee",B25006_002,89108,3004,248836,5436
2006,4748000,"Memphis city, Tennessee",B25006_003,146468,4830,248836,5436
2006,4748000,"Memphis city, Tennessee",B25006_004,542,353,248836,5436
2006,4748000,"Memphis city, Tennessee",B25006_005,4136,844,248836,5436
2006,4748000,"Memphis city, Tennessee",B25006_006,40,66,248836,5436
2006,4748000,"Memphis city, Tennessee",B25006_007,6213,938,248836,5436
2006,4748000,"Memphis city, Tennessee",B25006_008,2329,871,248836,5436
2006,4748000,"Memphis city, Tennessee",B25006_009,0,279,248836,5436
2006,4748000,"Memphis city, Tennessee",B25006_010,2329,871,248836,5436
2007,4748000,"Memphis city, Tennessee",B25006_001,250885,4727,250885,4727
2007,4748000,"Memphis city, Tennessee",B25006_002,95406,2923,250885,4727
2007,4748000,"Memphis city, Tennessee",B25006_003,145877,3920,250885,4727
2007,4748000,"Memphis city, Tennessee",B25006_004,363,228,250885,4727
2007,4748000,"Memphis city, Tennessee",B25006_005,3692,713,250885,4727
2007,4748000,"Memphis city, Tennessee",B25006_006,256,339,250885,4727
2007,4748000,"Memphis city, Tennessee",B25006_007,3384,759,250885,4727
2007,4748000,"Memphis city, Tennessee",B25006_008,1907,788,250885,4727
2007,4748000,"Memphis city, Tennessee",B25006_009,113,150,250885,4727
2007,4748000,"Memphis city, Tennessee",B25006_010,1794,752,250885,4727
2008,4748000,"Memphis city, Tennessee",B25006_001,244929,4698,244929,4698
2008,4748000,"Memphis city, Tennessee",B25006_002,93155,3566,244929,4698
2008,4748000,"Memphis city, Tennessee",B25006_003,142630,3336,244929,4698
2008,4748000,"Memphis city, Tennessee",B25006_004,556,326,244929,4698
2008,4748000,"Memphis city, Tennessee",B25006_005,2974,655,244929,4698
2008,4748000,"Memphis city, Tennessee",B25006_006,41,68,244929,4698
2008,4748000,"Memphis city, Tennessee",B25006_007,2878,857,244929,4698
2008,4748000,"Memphis city, Tennessee",B25006_008,2695,898,244929,4698
2008,4748000,"Memphis city, Tennessee",B25006_009,238,263,244929,4698
2008,4748000,"Memphis city, Tennessee",B25006_010,2457,821,244929,4698
2009,4748000,"Memphis city, Tennessee",B25006_001,254006,4635,254006,4635
2009,4748000,"Memphis city, Tennessee",B25006_002,100208,2998,254006,4635
2009,4748000,"Memphis city, Tennessee",B25006_003,143105,4025,254006,4635
2009,4748000,"Memphis city, Tennessee",B25006_004,446,398,254006,4635
2009,4748000,"Memphis city, Tennessee",B25006_005,3127,623,254006,4635
2009,4748000,"Memphis city, Tennessee",B25006_006,66,111,254006,4635
2009,4748000,"Memphis city, Tennessee",B25006_007,3698,1074,254006,4635
2009,4748000,"Memphis city, Tennessee",B25006_008,3356,1103,254006,4635
2009,4748000,"Memphis city, Tennessee",B25006_009,218,214,254006,4635
2009,4748000,"Memphis city, Tennessee",B25006_010,3138,1069,254006,4635
2010,4748000,"Memphis city, Tennessee",B25006_001,241400,4203,241400,4203
2010,4748000,"Memphis city, Tennessee",B25006_002,86122,2991,241400,4203
2010,4748000,"Memphis city, Tennessee",B25006_003,143154,4122,241400,4203
2010,4748000,"Memphis city, Tennessee",B25006_004,777,465,241400,4203
2010,4748000,"Memphis city, Tennessee",B25006_005,3814,748,241400,4203
2010,4748000,"Memphis city, Tennessee",B25006_006,44,72,241400,4203
2010,4748000,"Memphis city, Tennessee",B25006_007,5453,1272,241400,4203
2010,4748000,"Memphis city, Tennessee",B25006_008,2036,671,241400,4203
2010,4748000,"Memphis city, Tennessee",B25006_009,324,279,241400,4203
2010,4748000,"Memphis city, Tennessee",B25006_010,1712,680,241400,4203
2011,4748000,"Memphis city, Tennessee",B25006_001,245836,4445,245836,4445
2011,4748000,"Memphis city, Tennessee",B25006_002,86056,4014,245836,4445
2011,4748000,"Memphis city, Tennessee",B25006_003,146011,4205,245836,4445
2011,4748000,"Memphis city, Tennessee",B25006_004,374,281,245836,4445
2011,4748000,"Memphis city, Tennessee",B25006_005,3618,651,245836,4445
2011,4748000,"Memphis city, Tennessee",B25006_006,0,208,245836,4445
2011,4748000,"Memphis city, Tennessee",B25006_007,6764,1153,245836,4445
2011,4748000,"Memphis city, Tennessee",B25006_008,3013,891,245836,4445
2011,4748000,"Memphis city, Tennessee",B25006_009,210,186,245836,4445
2011,4748000,"Memphis city, Tennessee",B25006_010,2803,889,245836,4445
2012,4748000,"Memphis city, Tennessee",B25006_001,247478,3642,247478,3642
2012,4748000,"Memphis city, Tennessee",B25006_002,89290,3434,247478,3642
2012,4748000,"Memphis city, Tennessee",B25006_003,147543,3771,247478,3642
2012,4748000,"Memphis city, Tennessee",B25006_004,529,272,247478,3642
2012,4748000,"Memphis city, Tennessee",B25006_005,3310,810,247478,3642
2012,4748000,"Memphis city, Tennessee",B25006_006,215,273,247478,3642
2012,4748000,"Memphis city, Tennessee",B25006_007,4034,914,247478,3642
2012,4748000,"Memphis city, Tennessee",B25006_008,2557,600,247478,3642
2012,4748000,"Memphis city, Tennessee",B25006_009,160,180,247478,3642
2012,4748000,"Memphis city, Tennessee",B25006_010,2397,603,247478,3642
2013,4748000,"Memphis city, Tennessee",B25006_001,250302,4332,250302,4332
2013,4748000,"Memphis city, Tennessee",B25006_002,87413,3313,250302,4332
2013,4748000,"Memphis city, Tennessee",B25006_003,149829,3429,250302,4332
2013,4748000,"Memphis city, Tennessee",B25006_004,800,551,250302,4332
2013,4748000,"Memphis city, Tennessee",B25006_005,3963,711,250302,4332
2013,4748000,"Memphis city, Tennessee",B25006_006,0,203,250302,4332
2013,4748000,"Memphis city, Tennessee",B25006_007,5195,1062,250302,4332
2013,4748000,"Memphis city, Tennessee",B25006_008,3102,819,250302,4332
2013,4748000,"Memphis city, Tennessee",B25006_009,251,207,250302,4332
2013,4748000,"Memphis city, Tennessee",B25006_010,2851,780,250302,4332
2014,4748000,"Memphis city, Tennessee",B25006_001,250553,3753,250553,3753
2014,4748000,"Memphis city, Tennessee",B25006_002,83136,3479,250553,3753
2014,4748000,"Memphis city, Tennessee",B25006_003,153044,3773,250553,3753
2014,4748000,"Memphis city, Tennessee",B25006_004,358,248,250553,3753
2014,4748000,"Memphis city, Tennessee",B25006_005,4559,1154,250553,3753
2014,4748000,"Memphis city, Tennessee",B25006_006,260,308,250553,3753
2014,4748000,"Memphis city, Tennessee",B25006_007,5375,1038,250553,3753
2014,4748000,"Memphis city, Tennessee",B25006_008,3821,1042,250553,3753
2014,4748000,"Memphis city, Tennessee",B25006_009,239,261,250553,3753
2014,4748000,"Memphis city, Tennessee",B25006_010,3582,1053,250553,3753
2015,4748000,"Memphis city, Tennessee",B25006_001,250324,4428,250324,4428
2015,4748000,"Memphis city, Tennessee",B25006_002,85725,3200,250324,4428
2015,4748000,"Memphis city, Tennessee",B25006_003,152667,3986,250324,4428
2015,4748000,"Memphis city, Tennessee",B25006_004,262,283,250324,4428
2015,4748000,"Memphis city, Tennessee",B25006_005,3898,675,250324,4428
2015,4748000,"Memphis city, Tennessee",B25006_006,215,348,250324,4428
2015,4748000,"Memphis city, Tennessee",B25006_007,4335,1076,250324,4428
2015,4748000,"Memphis city, Tennessee",B25006_008,3222,738,250324,4428
2015,4748000,"Memphis city, Tennessee",B25006_009,921,550,250324,4428
2015,4748000,"Memphis city, Tennessee",B25006_010,2301,569,250324,4428
2016,4748000,"Memphis city, Tennessee",B25006_001,256973,4572,256973,4572
2016,4748000,"Memphis city, Tennessee",B25006_002,83192,3710,256973,4572
2016,4748000,"Memphis city, Tennessee",B25006_003,161189,3998,256973,4572
2016,4748000,"Memphis city, Tennessee",B25006_004,520,343,256973,4572
2016,4748000,"Memphis city, Tennessee",B25006_005,3826,790,256973,4572
2016,4748000,"Memphis city, Tennessee",B25006_006,59,65,256973,4572
2016,4748000,"Memphis city, Tennessee",B25006_007,5314,1003,256973,4572
2016,4748000,"Memphis city, Tennessee",B25006_008,2873,1072,256973,4572
2016,4748000,"Memphis city, Tennessee",B25006_009,400,312,256973,4572
2016,4748000,"Memphis city, Tennessee",B25006_010,2473,1011,256973,4572
2017,4748000,"Memphis city, Tennessee",B25006_001,246518,4056,246518,4056
2017,4748000,"Memphis city, Tennessee",B25006_002,80540,2996,246518,4056
2017,4748000,"Memphis city, Tennessee",B25006_003,153114,3726,246518,4056
2017,4748000,"Memphis city, Tennessee",B25006_004,412,363,246518,4056
2017,4748000,"Memphis city, Tennessee",B25006_005,3870,819,246518,4056
2017,4748000,"Memphis city, Tennessee",B25006_006,97,152,246518,4056
2017,4748000,"Memphis city, Tennessee",B25006_007,5496,1085,246518,4056
2017,4748000,"Memphis city, Tennessee",B25006_008,2989,935,246518,4056
2017,4748000,"Memphis city, Tennessee",B25006_009,108,138,246518,4056
2017,4748000,"Memphis city, Tennessee",B25006_010,2881,923,246518,4056
2018,4748000,"Memphis city, Tennessee",B25006_001,252517,4720,252517,4720
2018,4748000,"Memphis city, Tennessee",B25006_002,80718,3459,252517,4720
2018,4748000,"Memphis city, Tennessee",B25006_003,159847,4238,252517,4720
2018,4748000,"Memphis city, Tennessee",B25006_004,567,309,252517,4720
2018,4748000,"Memphis city, Tennessee",B25006_005,3324,693,252517,4720
2018,4748000,"Memphis city, Tennessee",B25006_006,0,211,252517,4720
2018,4748000,"Memphis city, Tennessee",B25006_007,4818,912,252517,4720
2018,4748000,"Memphis city, Tennessee",B25006_008,3243,1190,252517,4720
2018,4748000,"Memphis city, Tennessee",B25006_009,240,171,252517,4720
2018,4748000,"Memphis city, Tennessee",B25006_010,3003,1178,252517,4720
2019,4748000,"Memphis city, Tennessee",B25006_001,254423,4870,254423,4870
2019,4748000,"Memphis city, Tennessee",B25006_002,86607,3813,254423,4870
2019,4748000,"Memphis city, Tennessee",B25006_003,155655,4661,254423,4870
2019,4748000,"Memphis city, Tennessee",B25006_004,531,394,254423,4870
2019,4748000,"Memphis city, Tennessee",B25006_005,4553,947,254423,4870
2019,4748000,"Memphis city, Tennessee",B25006_006,0,216,254423,4870
2019,4748000,"Memphis city, Tennessee",B25006_007,4389,1217,254423,4870
2019,4748000,"Memphis city, Tennessee",B25006_008,2688,989,254423,4870
2019,4748000,"Memphis city, Tennessee",B25006_009,82,140,254423,4870
2019,4748000,"Memphis city, Tennessee",B25006_010,2606,968,254423,4870
2021,4748000,"Memphis city, Tennessee",B25006_001,256968,4780,256968,4780
2021,4748000,"Memphis city, Tennessee",B25006_002,73960,4028,256968,4780
2021,4748000,"Memphis city, Tennessee",B25006_003,160375,3681,256968,4780
2021,4748000,"Memphis city, Tennessee",B25006_004,463,268,256968,4780
2021,4748000,"Memphis city, Tennessee",B25006_005,3848,1099,256968,4780
2021,4748000,"Memphis city, Tennessee",B25006_006,142,163,256968,4780
2021,4748000,"Memphis city, Tennessee",B25006_007,8676,1334,256968,4780
2021,4748000,"Memphis city, Tennessee",B25006_008,9504,1557,256968,4780
2021,4748000,"Memphis city, Tennessee",B25006_009,4397,1014,256968,4780
2021,4748000,"Memphis city, Tennessee",B25006_010,5107,1112,256968,4780
